Municipio,Classificacao,Sexo,StatusNotificacao,Quantidade,DataEncerramento_Nula,DataObito_Nula
BREJETUBA,Suspeito,M,Encerrado,15,0,15
BREJETUBA,Síndrome Gripal não Especificada,F,Em Aberto,2,2,2
BREJETUBA,Síndrome Gripal não Especificada,F,Encerrado,15,0,15
BREJETUBA,Síndrome Gripal não Especificada,M,Em Aberto,4,4,4
BREJETUBA,Síndrome Gripal não Especificada,M,Encerrado,18,0,18
CACHOEIRO DE ITAPEMIRIM,Confirmados,F,Em Aberto,2,2,2
CACHOEIRO DE ITAPEMIRIM,Confirmados,F,Encerrado,36258,0,35920
CACHOEIRO DE ITAPEMIRIM,Confirmados,I,Encerrado,3,0,3
CACHOEIRO DE ITAPEMIRIM,Confirmados,M,Em Aberto,3,3,3
CACHOEIRO DE ITAPEMIRIM,Confirmados,M,Encerrado,26898,0,26445
CACHOEIRO DE ITAPEMIRIM,Descartados,F,Em Aberto,24,24,24
CACHOEIRO DE ITAPEMIRIM,Descartados,F,Encerrado,87713,0,87521
CACHOEIRO DE ITAPEMIRIM,Descartados,I,Encerrado,23,0,23
CACHOEIRO DE ITAPEMIRIM,Descartados,M,Em Aberto,21,21,21
CACHOEIRO DE ITAPEMIRIM,Descartados,M,Encerrado,56090,0,55842
CACHOEIRO DE ITAPEMIRIM,Suspeito,F,Em Aberto,4,4,4
CACHOEIRO DE ITAPEMIRIM,Suspeito,F,Encerrado,1661,0,1659
CACHOEIRO DE ITAPEMIRIM,Suspeito,M,Em Aberto,3,3,3
CACHOEIRO DE ITAPEMIRIM,Suspeito,M,Encerrado,1429,0,1426
CACHOEIRO DE ITAPEMIRIM,Síndrome Gripal não Especificada,F,Em Aberto,1,1,1
CACHOEIRO DE ITAPEMIRIM,Síndrome Gripal não Especificada,F,Encerrado,2248,0,2245
CACHOEIRO DE ITAPEMIRIM,Síndrome Gripal não Especificada,M,Encerrado,1897,0,1893
CARIACICA,Confirmados,F,Em Aberto,3379,3379,3379
CARIACICA,Confirmados,F,Encerrado,57501,0,56733
CARIACICA,Confirmados,I,Em Aberto,2,2,2
CARIACICA,Confirmados,I,Encerrado,24,0,24
CARIACICA,Confirmados,M,Em Aberto,2142,2142,2142
CARIACICA,Confirmados,M,Encerrado,43287,0,42380
CARIACICA,Descartados,F,Em Aberto,3036,3036,3033
CARIACICA,Descartados,F,Encerrado,112996,0,112571
CARIACICA,Descartados,I,Encerrado,35,0,34
CARIACICA,Descartados,M,Em Aberto,2338,2338,2334
CARIACICA,Descartados,M,Encerrado,93619,0,93139
CARIACICA,Suspeito,F,Em Aberto,59567,59567,59566
CARIACICA,Suspeito,F,Encerrado,9084,0,9076
CARIACICA,Suspeito,I,Em Aberto,95,95,95
CARIACICA,Suspeito,I,Encerrado,2,0,2
CARIACICA,Suspeito,M,Em Aberto,43591,43591,43589
CARIACICA,Suspeito,M,Encerrado,6563,0,6558
CARIACICA,Síndrome Gripal não Especificada,F,Em Aberto,861,861,861
CARIACICA,Síndrome Gripal não Especificada,F,Encerrado,8200,0,8194
CARIACICA,Síndrome Gripal não Especificada,I,Encerrado,7,0,7
CARIACICA,Síndrome Gripal não Especificada,M,Em Aberto,608,608,608
CARIACICA,Síndrome Gripal não Especificada,M,Encerrado,5639,0,5633
CASTELO,Confirmados,F,Em Aberto,41,41,41
CASTELO,Confirmados,F,Encerrado,8929,0,8852
CASTELO,Confirmados,M,Em Aberto,21,21,21
CASTELO,Confirmados,M,Encerrado,6703,0,6619
CASTELO,Descartados,F,Em Aberto,52,52,52
CASTELO,Descartados,F,Encerrado,21330,0,21287
CASTELO,Descartados,I,Encerrado,2,0,2
CASTELO,Descartados,M,Em Aberto,22,22,22
CASTELO,Descartados,M,Encerrado,14872,0,14833
CASTELO,Suspeito,F,Em Aberto,56,56,56
CASTELO,Suspeito,F,Encerrado,1566,0,1566
CASTELO,Suspeito,M,Em Aberto,29,29,29
CASTELO,Suspeito,M,Encerrado,1273,0,1273
CASTELO,Síndrome Gripal não Especificada,F,Encerrado,245,0,245
CASTELO,Síndrome Gripal não Especificada,M,Encerrado,212,0,212
COLATINA,Confirmados,F,Em Aberto,25,25,25
COLATINA,Confirmados,F,Encerrado,31791,0,31587
COLATINA,Confirmados,I,Encerrado,5,0,5
COLATINA,Confirmados,M,Em Aberto,25,25,25
COLATINA,Confirmados,M,Encerrado,23706,0,23478
COLATINA,Descartados,F,Em Aberto,16,16,16
COLATINA,Descartados,F,Encerrado,59253,0,59209
COLATINA,Descartados,I,Encerrado,3,0,3
COLATINA,Descartados,M,Em Aberto,13,13,12
COLATINA,Descartados,M,Encerrado,43672,0,43611
COLATINA,Suspeito,F,Em Aberto,17,17,17
COLATINA,Suspeito,F,Encerrado,3442,0,3439
COLATINA,Suspeito,I,Encerrado,1,0,1
COLATINA,Suspeito,M,Em Aberto,12,12,12
